iter	MAE	RMSE
374	0.09677411214	0.1309263673
375	0.09676033693	0.1309078808
376	0.09669066378	0.1307902816
377	0.09656389943	0.1306166597
378	0.09651333095	0.1305334571
379	0.09649934337	0.1305145456
380	0.09646297938	0.1304668451
381	0.09634478592	0.1303051403
382	0.09628119372	0.1302193264
383	0.09627410343	0.1302149701
384	0.09621242966	0.1301114275
385	0.09610843336	0.1299536982
386	0.09602005936	0.1298571998
387	0.09594570622	0.1297631781
388	0.09585487432	0.1296534513
389	0.09582389337	0.1296228299
390	0.09575910364	0.1295366423
391	0.09573750768	0.1294989969
392	0.09568857042	0.1294249856
393	0.09559631812	0.129278439
394	0.09554557736	0.1291960698
395	0.09547602472	0.1291045397
396	0.09538383085	0.1289555184
397	0.09527103489	0.1287967749
398	0.09524628712	0.1287441325
399	0.09517181179	0.1286514993
400	0.09508060083	0.1285382202
401	0.09499214175	0.1284048069
402	0.09485294321	0.128207647
403	0.09476500453	0.1280788635
404	0.09474700617	0.1280501132
405	0.09460228017	0.1278531717
406	0.09443682749	0.127606149
407	0.09430611762	0.1274384575
408	0.09418880111	0.127277945
409	0.09407825031	0.1271075443
410	0.09398408075	0.1269662947
411	0.09391389249	0.1268398955
412	0.09380551328	0.1266832685
413	0.09375354463	0.126614755
414	0.09359975469	0.1263850985
415	0.09351138676	0.1262977531
416	0.09346094612	0.1262321425
417	0.09335291881	0.126063687
418	0.093315113	0.1260166562
419	0.0931626605	0.1258042041
420	0.09304265625	0.1256785914
421	0.09293622932	0.1255342991
422	0.09289932757	0.125475124
423	0.09282883151	0.1253772211
424	0.09276285933	0.1252893424
425	0.09268057994	0.1251776827
426	0.09257272975	0.1250078549
427	0.0924432691	0.1248713833
428	0.09240065369	0.1248140337
429	0.09230217119	0.1246608455
430	0.09226320358	0.1245981282
431	0.09211260482	0.124386366
432	0.09201896358	0.124272841
433	0.09188936396	0.1240856047
434	0.09176649163	0.1239193769
435	0.09164341505	0.1237581352
436	0.09155048548	0.1236346426
437	0.0915142959	0.1235837327
438	0.09145119432	0.1234924389
439	0.09137970262	0.1233786132
440	0.09135819819	0.1233411101
441	0.09130366783	0.1232648209
442	0.09127719835	0.1232209686
443	0.09112209367	0.1230307102
444	0.09104524796	0.1228997827
445	0.09099703962	0.1228309218
446	0.09096380689	0.1227721372
447	0.09087196463	0.1226413406
448	0.09082874567	0.1225799402
449	0.09075276448	0.122496822
450	0.09069974316	0.122414056
451	0.09058025145	0.1222680239
452	0.09048330401	0.1221258094
453	0.09032608454	0.1218927416
454	0.09025444814	0.1217980818
455	0.09018292292	0.1217019769
456	0.09008763977	0.1215683831
457	0.09005066959	0.1215042653
458	0.08996784558	0.1213920365
459	0.08988395288	0.121296934
460	0.0898041467	0.1211906417
461	0.08975175232	0.1211209624
462	0.08967671282	0.121014806
463	0.08958434303	0.1209094349
464	0.08944588884	0.120712675
465	0.0893829659	0.1206343733
466	0.08932985674	0.1205559964
467	0.08931234935	0.1205236885
468	0.08925904123	0.1204584667
469	0.08921272955	0.1203979864
470	0.08906439687	0.1201759424
471	0.08891875989	0.1199855467
472	0.08881430073	0.1198590034
473	0.08873201106	0.1197607208
474	0.08862243878	0.1196243475
475	0.08854585508	0.1195215617
476	0.08849975036	0.1194683626
477	0.08838623209	0.1193320736
478	0.08829691224	0.1191837488
479	0.08828317305	0.1191642275
480	0.08823396033	0.1191016922
481	0.08820148976	0.1190468517
482	0.08810511025	0.1188967949
483	0.08806780637	0.1188412258
484	0.08803113878	0.1187887857
485	0.08790940756	0.1186469414
486	0.08788377096	0.1186213086
487	0.08782166664	0.1185220515
488	0.087764343	0.1184580073
489	0.08769302797	0.1183451027
490	0.08760589717	0.1182326119
491	0.08757237746	0.1181864218
492	0.08750816547	0.1180878
493	0.08735400246	0.1178816093
494	0.08732765504	0.1178436888
495	0.08728578804	0.1177925359
496	0.08716807043	0.117606397
497	0.08713534225	0.1175544187
498	0.08693481713	0.1173009999
499	0.0868264093	0.1171746856
500	0.08675701264	0.1170745212
501	0.08664982969	0.1169228754
502	0.08649372153	0.1166886921
503	0.0864209223	0.1165809409
504	0.08631759429	0.1164331775
505	0.0862092941	0.1162694053
506	0.08613825998	0.1161610859
507	0.08612870465	0.1161504525
508	0.08605544372	0.1160541127
509	0.08599864236	0.1159646071
510	0.08596334648	0.1159258657
511	0.0859295421	0.1158614883
512	0.08583499572	0.1157527594
513	0.08577308994	0.1156636294
514	0.08574699601	0.1156243123
515	0.08570707998	0.1155765359
516	0.08567092008	0.1155207181
517	0.08555628825	0.115382357
518	0.08546828223	0.1152504677
519	0.08538491188	0.1151608362
520	0.08526510021	0.1149843832
521	0.08523075124	0.1149525493
522	0.08513126624	0.1148110851
523	0.08507808182	0.114734819
524	0.08498153025	0.114596062
525	0.08490532285	0.1144688073
526	0.08483526462	0.1143612417
527	0.08477264631	0.1142738173
528	0.08467819038	0.114147787
529	0.08464882764	0.1141026301
530	0.08455251794	0.1139960328
531	0.08450772738	0.1139312779
532	0.08439846224	0.1137806288
533	0.08435941094	0.113731205
534	0.08421968309	0.1135206017
535	0.08416673903	0.1134464306
536	0.08414639891	0.1134084854
537	0.08411669686	0.1133789471
538	0.08407952767	0.113317913
539	0.08395524284	0.1131432482
540	0.08392273181	0.1130937236
541	0.08384222538	0.1129729805
542	0.0837501512	0.1128573839
543	0.0836855356	0.1127733153
544	0.08360372126	0.1126588389
545	0.08356377123	0.1126076965
546	0.08351366146	0.1125525728
547	0.08338805904	0.1124063706
548	0.08331457051	0.1122922941
549	0.08328440918	0.1122594131
550	0.08318998077	0.1121401835
551	0.08310906011	0.1120306845
552	0.08303823953	0.1119372204
553	0.08299917584	0.1118701606
554	0.08293336002	0.1117693597
555	0.08278905737	0.1115654749
556	0.08269868048	0.1114617124
557	0.08264614815	0.1113876647
558	0.08253038688	0.1112419747
559	0.08241280762	0.1110548187
560	0.08238401121	0.1110124264
561	0.08229681405	0.1109124093
562	0.08224729328	0.1108304184
563	0.08216326076	0.1107240148
564	0.08209402637	0.1106384606
565	0.08204663729	0.1105722723
566	0.08201107968	0.110521239
567	0.08193484008	0.1104250149
568	0.08188993972	0.1103579339
569	0.08178222095	0.1102228837
570	0.08171085772	0.1101417938
571	0.08156483255	0.1099397116
572	0.08152094783	0.1098559857
573	0.08141872108	0.1097166247
574	0.08133637776	0.1095916158
575	0.08122861561	0.1094669924
576	0.08116464069	0.1093699268
577	0.08110864687	0.1093009614
578	0.08106572926	0.1092436094
579	0.08096438097	0.1091117628
580	0.08082917074	0.1089235374
581	0.08069512214	0.1087100292
582	0.08066458458	0.1086804374
583	0.08057779683	0.1085658643
584	0.08048656212	0.108460965
585	0.08036272713	0.1082837162
586	0.08028299992	0.1081732658
587	0.08023306017	0.1081097436
588	0.08022125493	0.108093097
589	0.08018106503	0.1080437424
590	0.08008210959	0.1079130251
591	0.08003325323	0.1078454628
592	0.07991236231	0.1076989615
593	0.07977959346	0.1075163569
594	0.07972687925	0.1074437745
595	0.07964995284	0.1073305098
596	0.07960699012	0.1072636793
597	0.07944809864	0.1070255807
598	0.0793515969	0.106877632
599	0.07930793254	0.1068222731
600	0.07923227938	0.1067312007
601	0.07919603799	0.1066720272
602	0.07911415466	0.1065623891
603	0.07902729597	0.106412104
604	0.07894604513	0.1063003469
605	0.0788664706	0.1061880462
606	0.07881438368	0.1061086154
607	0.07877821804	0.1060536853
608	0.07869926883	0.1059435891
609	0.07863964014	0.1058613161
610	0.07856365228	0.1057760333
611	0.07845015588	0.1056146095
612	0.07839035705	0.1055302505
613	0.07838271975	0.1055224717
614	0.07833754183	0.1054806354
615	0.07823279499	0.1053442259
616	0.07822276428	0.1053346373
617	0.07816199521	0.1052327319
618	0.07806593862	0.1051040429
619	0.0780178456	0.1050481835
620	0.07793485797	0.1049340068
621	0.0778595939	0.1048424381
622	0.07778490473	0.104758283
623	0.07768449025	0.104614825
624	0.07762664967	0.1045414334
625	0.07758619314	0.1044860942
626	0.07757554075	0.1044720408
627	0.07753418855	0.1044054325
628	0.07749127996	0.1043453567
629	0.07738897021	0.1042051827
630	0.07722461029	0.1039749394
631	0.07719200786	0.1039380515
632	0.0771804532	0.1039224492
633	0.07708416198	0.1037977324
634	0.07701724998	0.1037068817
635	0.07699626366	0.1036805889
636	0.07694259106	0.1035994952
637	0.07689218848	0.1035376381
638	0.0768567917	0.1034995287
639	0.07679202988	0.1034319878
640	0.07667275433	0.1032799308
641	0.07656059382	0.1031370067
642	0.07652241856	0.1030768356
643	0.07647167919	0.1030134876
644	0.07627655402	0.1027441513
645	0.07620125618	0.1026536872
646	0.07613550835	0.1025882311
647	0.07609037239	0.1025368609
648	0.07603047627	0.1024523321
649	0.07595456064	0.1023406093
650	0.07591956773	0.1022993383
651	0.07586067933	0.1022180603
652	0.07576188495	0.1021126135
653	0.0756942578	0.1020301691
654	0.07568222524	0.1020113645
655	0.07553990408	0.1018333487
656	0.07547370897	0.1017480939
657	0.07536158668	0.1015804332
658	0.07532359297	0.1015163073
659	0.07527456721	0.1014506663
660	0.0751509052	0.1012997199
661	0.07513438125	0.1012762727
662	0.07508711742	0.1011995882
663	0.0750832616	0.1011959386
664	0.0749784414	0.1010617369
665	0.074906681	0.100962456
666	0.07485810937	0.1008945015
667	0.07476773097	0.1007669448
668	0.07472578871	0.1007171325
669	0.07464038929	0.100585014
670	0.0745184696	0.1004301807
671	0.07445079616	0.1003634226
672	0.07441091749	0.100303032
673	0.0743632079	0.1002360402
674	0.0742793974	0.1001340684
675	0.07424217126	0.1000852342
676	0.07421357232	0.1000371942
677	0.07413859136	0.09994520392
678	0.07409501811	0.09987461542
679	0.07405181243	0.09981468349
680	0.07398616318	0.09971583856
681	0.07390086792	0.09958536617
682	0.0738846951	0.09955662615
683	0.07384706382	0.09949808387
684	0.07376064339	0.09938826951
685	0.07365320616	0.09925539276
686	0.07356742582	0.09915687645
687	0.07351101401	0.09908054006
688	0.0734728835	0.09904147769
689	0.0734264914	0.09899084113
690	0.07337151393	0.0989375115
691	0.07335761925	0.09892002138
692	0.07330196606	0.09884107996
693	0.07322527423	0.09871692331
694	0.07313786912	0.09859504232
695	0.07305124533	0.09848135157
696	0.07300718296	0.09842462526
697	0.07291776764	0.0983157248
698	0.0729080972	0.09830666026
699	0.0729020191	0.09829926296
700	0.07279675756	0.09812931142
701	0.0727900224	0.09812049696
702	0.07275501102	0.0980733775
703	0.07273633657	0.09805294041
704	0.07267518021	0.09798334244
705	0.07261542682	0.09791322093
706	0.07256827721	0.09784212422
707	0.07253106882	0.09779926122
708	0.0725141509	0.09777717928
709	0.07247011163	0.09772517129
710	0.07244749159	0.0976884145
711	0.07242780628	0.09765953955
712	0.07239738771	0.09762337771
713	0.07236845458	0.09759173684
714	0.07233004084	0.09753476356
715	0.07228753768	0.09747657568
716	0.07223927754	0.09741448471
717	0.07219398664	0.09734305443
718	0.07213993611	0.09727534173
719	0.07212761537	0.09726174913
720	0.07207192856	0.0971828696
721	0.07202048856	0.09711142144
722	0.07195775358	0.09703057055
723	0.07189527283	0.09695162921
724	0.07188075692	0.09693528102
725	0.07178236456	0.09680629428
726	0.0716927835	0.09668500256
727	0.07164277495	0.09662165611
728	0.07162643183	0.09659631493
729	0.07154871694	0.09649592085
730	0.07149803436	0.09642953122
731	0.07145265437	0.09637404092
732	0.07137119079	0.09627551322
733	0.07129768247	0.09616855918
734	0.07121562342	0.09604838229
735	0.07120056883	0.09602278185
736	0.07115743474	0.09597244517
737	0.07109943831	0.09590804889
738	0.0710240113	0.09582266584
739	0.07100339354	0.09579339092
740	0.07096668668	0.09574780686
741	0.07089219699	0.09564911622
742	0.07084970632	0.09560359996
743	0.07079005913	0.09550434053
744	0.07075055973	0.09544724291
745	0.07073025293	0.09542566309
746	0.070692856	0.09537247326
747	0.07063787796	0.09529228807
748	0.07057108328	0.095190743
749	0.07045739631	0.09504910863
750	0.07044351121	0.09502638749
751	0.07038237614	0.09495818841
752	0.07035114733	0.09491817928
753	0.07031767028	0.09487083795
754	0.07027817603	0.09481288319
755	0.07017945251	0.09468414023
756	0.07017124832	0.09467471473
757	0.0701124299	0.09458774211
758	0.07009091542	0.09455680922
759	0.07007452347	0.0945326687
760	0.07003104121	0.09447378801
761	0.06995430712	0.09437438911
762	0.06989969029	0.09431077325
763	0.06987375504	0.09427989173
764	0.06982733348	0.09422992828
765	0.06976503712	0.09416958518
766	0.06971531407	0.09411097555
767	0.06957649312	0.09392727352
768	0.06953448767	0.09386225692
769	0.06945924415	0.09376680075
770	0.06942440473	0.09370864785
771	0.06934855813	0.09361070309
772	0.06932717408	0.09358578736
773	0.06929123786	0.09353678015
774	0.06928920173	0.09353290421
775	0.06923011081	0.09344615282
776	0.06913884175	0.09332342443
777	0.06912143436	0.09330573787
778	0.06909230481	0.09325582456
779	0.06905903665	0.09320404932
780	0.0690454978	0.09318447373
781	0.06899512524	0.09311594145
782	0.06895598009	0.09304794861
783	0.06890883991	0.09297876632
784	0.06887188185	0.09292207425
785	0.06882275182	0.09286156368
786	0.06877297796	0.09279856681
787	0.0687210683	0.09272758566
788	0.06868177917	0.09268106856
789	0.06865669792	0.09264855652
790	0.06861761744	0.09260267503
791	0.06857423168	0.09255447618
792	0.06855707734	0.09252412567
793	0.06849922235	0.09244246166
794	0.0684798546	0.09241497643
795	0.06843742937	0.09236842391
796	0.0683822271	0.09229081635
797	0.06833021754	0.09221858447
798	0.06829567283	0.09216108562
799	0.06824753372	0.0920929383
